seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
85,e-lmpc,1,0.0173958131594714,10.9424417523699,0.011409550273224,0.0319762,2.0879477,0,0,0,4.43297007990395e-08,1,2.5601381
86,e-lmpc,1,0.0203413479412561,12.2108239294289,0.0120728903614458,0.0237004,2.0040998,0,0,0,3.82943241561406e-08,1,2.4763023
87,e-lmpc,1,0.033522455000958,16.9474719964579,0.0109468557692308,0.0251356,1.138473,0.00480769230769231,0.00184758901109561,0,2.58811223119437e-07,1,1.4115633
88,e-lmpc,1,0.0229340042875863,12.0616776033869,0.0121294084269663,0.0224711,2.1590347,0.00280898876404494,0.00104278731873553,0,1.00636256661346e-07,1,2.6401832
89,e-lmpc,1,0.0508761570670394,29.2168986283061,0.0131711770700637,0.0257638,2.0678748,0,0,0,2.31331453726114e-06,1,2.5470768
90,e-lmpc,1,0.0625098555602121,60.1646729878041,0.012154191011236,0.0222129,1.081723,0.0196629213483146,0.00789011080443025,0,1.91175255181975e-07,1,1.3419329
91,e-lmpc,1,0.0757147315693565,130.546516348835,0.012874878125,0.0238845,1.2359883,0.0390625,0.00110407283352965,0,1.64785710410342e-07,1,1.5196532
92,e-lmpc,1,0.0220068078177246,13.0182363343315,0.0103092171428571,0.0204527,1.804113,0,0,0,9.93797133475027e-08,1,2.2282492
93,e-lmpc,1,0.0296878887855239,22.3606552457967,0.00993812792792793,0.0192006,1.1031322,0.0202702702702703,0.00221452912180276,0,2.27332442648276e-07,1,1.3633156
94,e-lmpc,1,0.0322953810820141,33.6072087818832,0.0109575711340206,0.0205104,1.0628844,0.0618556701030928,0.00256305103233867,0,5.49257034521133e-07,1,1.3227312
95,e-lmpc,1,0.0269874179310401,18.8747159862494,0.01081243984375,0.0214885,1.3839923,0,0,0,1.16815140671633e-07,1,1.7203068
96,e-lmpc,1,0.0352169698940352,45.2032550471079,0.0119514979166667,0.0235518,1.1473438,0.0572916666666667,0.0118637407281623,0,1.6848764516908e-07,1,1.4094373
97,e-lmpc,1,0.0246294391891385,14.5625140297131,0.0111316005376344,0.0236988,2.0704777,0,0,0.00810810810810811,134.027297480309,1,2.535332
98,e-lmpc,1,0.0515253853188536,56.0815884177881,0.0127674085106383,0.0211595,1.2001364,0.0585106382978723,0.00965532271676928,0,1.4789355518019e-06,1,1.482698
99,e-lmpc,1,0.0119801796749742,14.2183863512372,0.011564175,0.0275007,1.4339577,0,0,0,1.39946646271483e-07,1,1.7543864
100,e-lmpc,1,0.108120931072157,131.973765330102,0.0106648303030303,0.0201923,0.7038788,0.132575757575758,0.0226323437836164,0,3.06069436462053e-07,1,0.8691578
101,e-lmpc,1,0.027926469854914,15.9467706449569,0.0156557488095238,0.4006752,2.6301658,0,0,0,2.32285279011535e-07,1,4.1289243
102,e-lmpc,1,0.0270226301133436,21.7106713119017,0.0120513692307692,0.0192104,1.2533424,0,0,0,2.43741613559223e-07,1,1.5958282
103,e-lmpc,1,0.0336476769368981,22.7840267315046,0.0109863843971631,0.0184471,1.5490802,0,0,0,4.57218281013638e-07,1,1.9381255
104,e-lmpc,1,0.0392121278192956,16.258851654306,0.0114714543352601,0.0190981,1.9845616,0,0,0,2.91876096625288e-07,1,2.4290246
105,e-lmpc,1,0.0727868626405071,111.539095107875,0.0106194655737705,0.018981,0.6477874,0.114754098360656,0.0233949011697216,0,5.4169137797544e-07,1,0.8521082
106,e-lmpc,1,0.0279294177874433,19.192969298594,0.0109787167567568,0.0183743,2.0310626,0,0,0.00679347826086957,154.273492739615,1,2.4901686
107,e-lmpc,1,0.0446147778103545,71.675772451639,0.01122827125,0.0190608,0.8982617,0.025,0.00317360384494947,0,7.84087220040419e-07,1,1.1114495
108,e-lmpc,1,0.019751065698378,15.5254165026211,0.0112644381679389,0.0203397,1.4756414,0,0,0,2.95809993389184e-07,1,1.8191892
109,e-lmpc,1,0.0301900014090806,14.7522993079535,0.0103273345744681,0.0182514,1.9415389,0,0,0,2.75663385451708e-07,1,2.3584796
110,e-lmpc,1,0.0879887218467556,167.878015554066,0.0105170326923077,0.0204024,0.5468857,0.125,0.00853358398537019,0,2.98562255807155e-07,1,0.6902697
111,e-lmpc,1,0.0408303486252543,37.4412209301547,0.00961767866666667,0.0164088,1.4426518,0.005,0.000590733050254144,0,2.32282163281639e-07,1,1.7492563
112,e-lmpc,1,0.19885693938896,196.459943026219,0.0114349609375,0.0183936,0.7318375,0,0,0,2.13678498894865e-06,1,0.9169538
113,e-lmpc,1,0.02328131531752,13.442074609155,0.00991211494845361,0.0167384,1.9229503,0,0,0,1.63563633748254e-07,1,2.3337581
114,e-lmpc,1,0.067948184792492,117.071703579159,0.0103930721311475,0.019254,0.6339774,0.110655737704918,0.0219737981534616,0,2.17097451127302e-07,1,0.7981668
115,e-lmpc,1,0.0411355775791019,59.2909465370582,0.00987010382165605,0.0163628,1.5496063,0.00477707006369427,7.88137816476464e-05,0,2.23713549019067e-07,1,1.8906139
116,e-lmpc,1,0.0282917246026612,10.9057642197003,0.0104773873493976,0.0219232,1.7392463,0,0,0,2.22500819546667e-07,1,2.1193137
117,e-lmpc,1,0.0271774542952439,15.8621800866631,0.0100918162162162,0.0181222,1.866986,0,0,0,1.34868429313428e-07,1,2.2785445
118,e-lmpc,1,0.0241546076912192,17.6186711908029,0.00974314225352113,0.0226724,1.3835262,0,0,0,8.03102970792224e-08,1,1.692667
119,e-lmpc,1,0.0213556771918649,22.891409896314,0.0108833046296296,0.0203835,1.1753969,0,0,0,1.40160263839562e-07,1,1.4648406
120,e-lmpc,1,0.0286093148265876,12.3274296191953,0.00971181329113924,0.0215542,1.5344665,0,0,0,6.39710577843289e-08,1,1.8705733
121,e-lmpc,1,0.0279032852061647,18.1562738050995,0.00855006703910615,0.02375,1.530462,0,0,0.0098314606741573,186.420969515421,1,1.8675731
122,e-lmpc,1,0.110418047480639,91.2183205566229,0.00958001923076923,0.0207361,0.996322,0.00480769230769231,0.00133354060901603,0,5.42176136875128e-07,1,1.2274943
123,e-lmpc,1,0.084419006182454,102.812488300872,0.011522513559322,0.0195642,0.6798283,0.0296610169491525,0.0276889478680777,0,3.07744681293798e-07,1,0.8556028
124,e-lmpc,1,0.0213095483622802,14.4815778131651,0.00957644897959184,0.0202742,1.876984,0,0,0,2.9032748471991e-06,1,2.2685626
125,e-lmpc,1,0.0906971056990685,123.559686637827,0.0107560031746032,0.0212686,0.6776282,0.0793650793650794,0.00186342642658177,0,4.8395318330563e-07,1,0.8520283
126,e-lmpc,1,0.0189256204418815,11.8703473165659,0.00929326153846154,0.01619,1.812186,0,0,0,3.5617908267227e-07,1,2.1970786
127,e-lmpc,1,0.111070207208935,127.698122378638,0.0109959253968254,0.0229794,0.6927433,0.115079365079365,0.00564275801693714,0,7.09774468532487e-07,1,0.8568069
128,e-lmpc,1,0.0591825920335992,47.4827491469685,0.0102772488636364,0.0163574,0.9043979,0.0738636363636364,0.00184682086935872,0,4.40851781746687e-07,1,1.1174461
129,e-lmpc,1,0.0434882084370014,34.1511505826925,0.0107986535087719,0.0209479,1.2310465,0.0548245614035088,0.00512127787287175,0,1.73568743377928e-07,1,1.5148364
130,e-lmpc,1,0.114113371187761,180.708834263877,0.0107170103448276,0.0169723,0.6215866,0.150862068965517,0.00101684239841093,0,1.95348057729916e-07,1,0.7771346
131,e-lmpc,1,0.108112826203232,148.421282286643,0.0113214448275862,0.0199037,0.6566438,0.0732758620689655,0.0325516733880349,0,3.46680673501965e-07,1,0.8264207
